opponent_school,opponent,score,date
The Ohio State University,Aidan Kim,6-7(3) 2-6 L,04/26/25
Michigan State University,Aristotelis Thanos,4-6 3-1 UF,04/25/25
University of Michigan,William Cooksey,6-3 5-6 UF,04/24/25
University of Nebraska-Lincoln,Calvin Mueller,3-6 6-3 6-1 W,04/19/25
University of Wisconsin-Madison,Michael Minasyan,6-2 3-6 UF,04/17/25
Michigan State University,Ozan Baris,6-1 6-2 W,04/12/25
University of Michigan,William Cooksey,6-3 6-3 W,04/10/25
Pennsylvania State University,Charl Morgan,6-3 6-3 W,04/05/25
Ohio State University,Alexander Bernard,6-7(5) 6-0 UF,04/03/25
The Ohio State University,Alexander Bernard,6-7(5) 6-0 1-3 UF,04/03/25
University of Southern California,Makk Peter,4-6 4-6 L,03/31/25
University of Washington,César Bouchelaghem,6-4 4-4 UF,03/29/25
University of Oregon,Lenn Luemkemann,6-3 5-3 UF,03/28/25
Northwestern University,Saiprakash Goli,5-7 3-3 UF,03/22/25
University of Illinois at Urbana-Champaign,Kenta Miyoshi,6-7(5) 1-5 UF,03/20/25
